STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2018,,33.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2019,,33.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2020,,33.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2021,,31.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,32.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2023,,30.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,BG,Bulgaria,2024,,30.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2015,,18.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2016,,17.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2017,,18.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2018,,17.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2019,,19.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2020,,18.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2021,,17.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,18.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CH,Switzerland,2023,,19.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2015,,22.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2016,,22.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2017,,21.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2018,,19.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2019,,18.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2020,,17.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2021,,17.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2022,,16.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2023,,16.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CY,Cyprus,2024,,17.1,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2015,,13.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2016,,12.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2017,,12.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2018,,11.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2019,,12.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2020,,11.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2021,,10.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2022,,11.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2023,,12.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,CZ,Czechia,2024,,11.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2015,,20.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2016,,19.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2017,,18.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2018,,18.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2019,,21.2,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2020,,20.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2021,,21.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2022,,21.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2023,,21.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DE,Germany,2024,,21.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2015,,18.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2016,,17.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2017,,17.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2018,,17.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2019,,17.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2020,,16.8,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2021,,17.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2022,,17.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2023,,17.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,DK,Denmark,2024,,18.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2015,,22.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2016,,22.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2017,,21.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2018,,21.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2019,,21.7,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2020,,21.5,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2021,,21.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2022,,21.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (from 2023),2023,,21.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2015,,23.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2016,,23.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2017,,23.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2018,,23.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2019,,23.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2020,,22.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2021,,22.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,25.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2023,,24.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EE,Estonia,2024,,22.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2015,,32.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2016,,32.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2017,,32.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2018,,30.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2019,,29.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2020,,27.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2021,,28.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2022,,26.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EL,Greece,2023,,26.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2015,,28.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2016,,28.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2017,,27.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2018,,27.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2019,,26.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2020,,27.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2021,,27.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2022,,26.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2023,,26.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,ES,Spain,2024,,25.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,24.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,,23.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2017,,22.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2018,,21.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2019,,21.8,,be,"break in time series, estimated",,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,21.5,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,,21.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,21.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2023,,21.3,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2015,,16.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2016,,16.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2017,,16.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2018,,16.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2019,,14.5,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2020,,14.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2021,,14.2,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2022,,16.3,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2023,,15.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FI,Finland,2024,,16.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2015,,18.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2016,,18.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2017,,17.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2018,,17.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2019,,18.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2020,,19.0,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2021,,19.0,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2022,,20.7,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,FR,France,2023,,20.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2014,,25.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2015,,24.4,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2016,,23.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2017,,23.7,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2018,,22.1,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2019,,20.8,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2020,,20.5,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2021,,20.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2022,,19.9,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2023,,20.7,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HR,Croatia,2024,,21.7,,b,break in time series,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HU,Hungary,2015,,30.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HU,Hungary,2016,,28.6,,,,,
dataflow,ESTAT:SDG_01_10(1.0),Persons at risk of poverty or social exclusion,A,Annual,TOTAL,Total,PC,Percentage,HU,Hungary,2017,,25.9,,,,,
